jmeter_core(14),a-index,inDeg,outDeg,allDeg,inWDeg,outWDeg,allWDeg,ForwardBackPageRank-Sora,ForwardPageRank-Sora,inDeg-core,outDeg-core,g-core,g-core-Right,h-index,k-core,LiuPageRank,TSEPageRank,TSEPageRank_v15
5%,0.0,0.2142857164144516,0.1428571492433548,0.2142857164144516,0.2142857164144516,0.1428571492433548,0.1428571492433548,0.2142857164144516,0.2142857164144516,0.2857142984867096,0.2857142984867096,0.2142857164144516,0.2142857164144516,0.2142857164144516,0.2142857164144516,0.2142857164144516,0.1428571492433548,0.2142857164144516
10%,0.0,0.3571428656578064,0.3571428656578064,0.5,0.4285714328289032,0.3571428656578064,0.4285714328289032,0.2857142984867096,0.2857142984867096,0.4285714328289032,0.2857142984867096,0.4285714328289032,0.5,0.5,0.4285714328289032,0.3571428656578064,0.3571428656578064,0.4285714328289032
15%,0.1428571492433548,0.5714285969734192,0.4285714328289032,0.6428571343421936,0.7142857313156128,0.4285714328289032,0.7857142686843872,0.5714285969734192,0.5714285969734192,0.5714285969734192,0.4285714328289032,0.6428571343421936,0.7142857313156128,0.6428571343421936,0.6428571343421936,0.4285714328289032,0.4285714328289032,0.5
20%,0.1428571492433548,0.7142857313156128,0.4285714328289032,0.7142857313156128,0.7142857313156128,0.4285714328289032,0.8571428656578064,0.6428571343421936,0.6428571343421936,0.5714285969734192,0.4285714328289032,0.7857142686843872,0.8571428656578064,0.7857142686843872,0.7857142686843872,0.6428571343421936,0.7142857313156128,0.6428571343421936
25%,0.1428571492433548,0.7142857313156128,0.4285714328289032,0.8571428656578064,0.7142857313156128,0.4285714328289032,0.8571428656578064,0.7142857313156128,0.7142857313156128,0.7857142686843872,0.5,0.7857142686843872,0.8571428656578064,0.8571428656578064,0.7857142686843872,0.7142857313156128,0.7857142686843872,0.7857142686843872
30%,0.2142857164144516,0.7857142686843872,0.5,0.8571428656578064,0.7857142686843872,0.4285714328289032,0.9285714030265808,0.7857142686843872,0.7857142686843872,0.7857142686843872,0.5,0.8571428656578064,0.9285714030265808,0.8571428656578064,0.8571428656578064,0.7857142686843872,0.8571428656578064,0.8571428656578064
35%,0.5714285969734192,0.8571428656578064,0.6428571343421936,0.8571428656578064,0.8571428656578064,0.5,0.9285714030265808,0.9285714030265808,0.9285714030265808,0.7857142686843872,0.5,0.8571428656578064,0.9285714030265808,1.0,0.9285714030265808,0.8571428656578064,0.8571428656578064,0.9285714030265808
40%,0.6428571343421936,0.8571428656578064,0.7142857313156128,0.9285714030265808,0.8571428656578064,0.5,0.9285714030265808,0.9285714030265808,0.9285714030265808,0.9285714030265808,0.6428571343421936,0.9285714030265808,0.9285714030265808,1.0,1.0,0.8571428656578064,0.8571428656578064,0.9285714030265808
45%,0.6428571343421936,0.8571428656578064,0.7142857313156128,1.0,0.8571428656578064,0.6428571343421936,0.9285714030265808,1.0,1.0,0.9285714030265808,0.6428571343421936,1.0,0.9285714030265808,1.0,1.0,0.8571428656578064,0.8571428656578064,0.9285714030265808
50%,0.6428571343421936,0.8571428656578064,0.7857142686843872,1.0,0.8571428656578064,0.6428571343421936,0.9285714030265808,1.0,1.0,0.9285714030265808,0.6428571343421936,1.0,1.0,1.0,1.0,0.8571428656578064,0.8571428656578064,0.9285714030265808
