wro4j(12),a-index,inDeg,outDeg,allDeg,inWDeg,outWDeg,allWDeg,ForwardBackPageRank-Sora,ForwardPageRank-Sora,inDeg-core,outDeg-core,g-core,g-core-Right,h-index,k-core,LiuPageRank,TSEPageRank,TSEPageRank_v15
5%,0.0,0.49019607499396506,0.09803921654562635,0.49019607499396506,0.34313725146455326,0.09803921654562635,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.3921568661825054,0.0,0.24509803749698253,0.49019607499396506,0.3921568661825054,0.3921568661825054,0.34313725146455326,0.3921568661825054,0.5882352941176471
10%,0.0,0.2873563206578548,0.057471264663122495,0.31609195520421407,0.31609195520421407,0.057471264663122495,0.25862068965517243,0.22988505865248998,0.22988505865248998,0.2873563206578548,0.057471264663122495,0.2873563206578548,0.31609195520421407,0.31609195520421407,0.31609195520421407,0.2873563206578548,0.3448275862068965,0.3448275862068965
15%,0.0,0.22357723636332183,0.040650406651806074,0.22357723636332183,0.22357723636332183,0.06097560975609755,0.22357723636332183,0.18292682926829268,0.18292682926829268,0.22357723636332183,0.040650406651806074,0.20325203192936103,0.22357723636332183,0.22357723636332183,0.22357723636332183,0.22357723636332183,0.2439024390243902,0.2439024390243902
20%,0.0,0.1729559751964201,0.031446540968916345,0.1729559751964201,0.1729559751964201,0.047169811320754707,0.1729559751964201,0.15723270404886291,0.15723270404886291,0.1729559751964201,0.047169811320754707,0.1729559751964201,0.1729559751964201,0.1729559751964201,0.1729559751964201,0.18867924528301883,0.18867924528301883,0.18867924528301883
25%,0.01282051284990367,0.14102564126076783,0.02564102569980734,0.14102564126076783,0.14102564126076783,0.038461538461538464,0.14102564126076783,0.12820512797000141,0.12820512797000141,0.14102564126076783,0.038461538461538464,0.14102564126076783,0.14102564126076783,0.14102564126076783,0.14102564126076783,0.15384615384615385,0.15384615384615385,0.15384615384615385
30%,0.02164502168690943,0.11904761921517017,0.032467532467532464,0.11904761921517017,0.11904761921517017,0.032467532467532464,0.11904761921517017,0.11904761921517017,0.11904761921517017,0.11904761921517017,0.032467532467532464,0.11904761921517017,0.11904761921517017,0.11904761921517017,0.11904761921517017,0.12987012987012986,0.12987012987012986,0.12987012987012986
35%,0.018726591791653327,0.11235955056179776,0.02808988764044944,0.10299625480706275,0.10299625480706275,0.02808988764044944,0.10299625480706275,0.10299625480706275,0.10299625480706275,0.11235955056179776,0.02808988764044944,0.10299625480706275,0.10299625480706275,0.10299625480706275,0.10299625480706275,0.11235955056179776,0.11235955056179776,0.11235955056179776
40%,0.024752475247524754,0.09900990099009901,0.024752475247524754,0.09075907600497442,0.09900990099009901,0.024752475247524754,0.09075907600497442,0.09075907600497442,0.09075907600497442,0.09900990099009901,0.024752475247524754,0.09075907600497442,0.09075907600497442,0.09075907600497442,0.09075907600497442,0.09900990099009901,0.09900990099009901,0.09900990099009901
45%,0.02949852511264563,0.08849557522123895,0.022123893805309738,0.08112094403060098,0.08849557522123895,0.022123893805309738,0.08112094403060098,0.08112094403060098,0.08112094403060098,0.08849557522123895,0.022123893805309738,0.08112094403060098,0.08112094403060098,0.08112094403060098,0.08112094403060098,0.08849557522123895,0.08849557522123895,0.08849557522123895
50%,0.06,0.07999999999999999,0.019999999999999997,0.07333333339691163,0.07999999999999999,0.019999999999999997,0.07333333339691163,0.07333333339691163,0.07333333339691163,0.07999999999999999,0.019999999999999997,0.07333333339691163,0.07333333339691163,0.07333333339691163,0.07333333339691163,0.07999999999999999,0.07999999999999999,0.07999999999999999
