jedit(7),a-index,inDeg,outDeg,allDeg,inWDeg,outWDeg,allWDeg,ForwardBackPageRank-Sora,ForwardPageRank-Sora,inDeg-core,outDeg-core,g-core,g-core-Right,h-index,k-core,LiuPageRank,TSEPageRank,TSEPageRank_v15
5%,0.0,1.0,0.7142857313156128,1.0,0.7142857313156128,0.7142857313156128,0.8571428656578064,0.8571428656578064,0.8571428656578064,1.0,0.7142857313156128,0.8571428656578064,0.8571428656578064,0.8571428656578064,0.8571428656578064,1.0,0.8571428656578064,0.8571428656578064
10%,0.0,1.0,0.7142857313156128,1.0,1.0,0.7142857313156128,0.8571428656578064,1.0,1.0,1.0,0.7142857313156128,0.8571428656578064,1.0,0.8571428656578064,0.8571428656578064,1.0,1.0,1.0
15%,0.0,1.0,0.7142857313156128,1.0,1.0,0.7142857313156128,0.8571428656578064,1.0,1.0,1.0,0.7142857313156128,0.8571428656578064,1.0,1.0,1.0,1.0,1.0,1.0
20%,0.0,1.0,0.7142857313156128,1.0,1.0,0.7142857313156128,1.0,1.0,1.0,1.0,0.7142857313156128,0.8571428656578064,1.0,1.0,1.0,1.0,1.0,1.0
25%,0.0,1.0,0.7142857313156128,1.0,1.0,0.7142857313156128,1.0,1.0,1.0,1.0,0.7142857313156128,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30%,0.2857142984867096,1.0,0.7142857313156128,1.0,1.0,0.7142857313156128,1.0,1.0,1.0,1.0,0.7142857313156128,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35%,0.5714285969734192,1.0,0.7142857313156128,1.0,1.0,0.7142857313156128,1.0,1.0,1.0,1.0,0.7142857313156128,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40%,0.8571428656578064,1.0,0.7142857313156128,1.0,1.0,0.7142857313156128,1.0,1.0,1.0,1.0,0.7142857313156128,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45%,0.8571428656578064,1.0,0.7142857313156128,1.0,1.0,0.7142857313156128,1.0,1.0,1.0,1.0,0.7142857313156128,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50%,0.8571428656578064,1.0,0.8571428656578064,1.0,1.0,0.7142857313156128,1.0,1.0,1.0,1.0,0.7142857313156128,1.0,1.0,1.0,1.0,1.0,1.0,1.0
