argouml(12),a-index,inDeg,outDeg,allDeg,inWDeg,outWDeg,allWDeg,ForwardBackPageRank-Sora,ForwardPageRank-Sora,inDeg-core,outDeg-core,g-core,g-core-Right,h-index,k-core,LiuPageRank,TSEPageRank,TSEPageRank_v15
5%,0.0,0.36832412328953257,0.11049723756906077,0.36832412328953257,0.36832412328953257,0.2578268857204718,0.3314917127071823,0.29465930212483193,0.29465930212483193,0.3314917127071823,0.22099447513812154,0.2578268857204718,0.36832412328953257,0.29465930212483193,0.29465930212483193,0.40515653969389276,0.36832412328953257,0.40515653969389276
10%,0.0,0.2277432718347249,0.14492753561869118,0.2277432718347249,0.2277432718347249,0.18633540372670804,0.2277432718347249,0.24844720496894407,0.24844720496894407,0.2070393368609272,0.14492753561869118,0.18633540372670804,0.2277432718347249,0.2070393368609272,0.2070393368609272,0.24844720496894407,0.2277432718347249,0.24844720496894407
15%,0.0,0.17278617710583155,0.10079193634848499,0.17278617710583155,0.17278617710583155,0.14398848062494288,0.1583873293102623,0.17278617710583155,0.17278617710583155,0.1583873293102623,0.10079193634848499,0.14398848062494288,0.1583873293102623,0.14398848062494288,0.14398848062494288,0.17278617710583155,0.17278617710583155,0.17278617710583155
20%,0.033112582781456956,0.13245033112582782,0.08830022092482681,0.13245033112582782,0.13245033112582782,0.11037527576391488,0.12141280370628375,0.13245033112582782,0.13245033112582782,0.12141280370628375,0.08830022092482681,0.11037527576391488,0.13245033112582782,0.11037527576391488,0.11037527576391488,0.13245033112582782,0.13245033112582782,0.13245033112582782
25%,0.035794183502465306,0.10738255033557045,0.08948545849842508,0.10738255033557045,0.10738255033557045,0.08948545849842508,0.09843400458882325,0.10738255033557045,0.10738255033557045,0.09843400458882325,0.08948545849842508,0.08948545849842508,0.10738255033557045,0.08948545849842508,0.08948545849842508,0.10738255033557045,0.10738255033557045,0.10738255033557045
30%,0.03762227234475614,0.09029345372460496,0.07524454468951228,0.09029345372460496,0.09029345372460496,0.07524454468951228,0.08276899932854642,0.09029345372460496,0.09029345372460496,0.08276899932854642,0.07524454468951228,0.08276899932854642,0.09029345372460496,0.07524454468951228,0.07524454468951228,0.09029345372460496,0.09029345372460496,0.09029345372460496
35%,0.05842259006815968,0.07789678675754624,0.0649139889043426,0.07789678675754624,0.07789678675754624,0.0649139889043426,0.07789678675754624,0.07789678675754624,0.07789678675754624,0.07789678675754624,0.07140538792136332,0.07140538792136332,0.07789678675754624,0.07789678675754624,0.07789678675754624,0.07789678675754624,0.07789678675754624,0.07789678675754624
40%,0.06278538817445788,0.0684931506849315,0.057077625524172254,0.0684931506849315,0.0684931506849315,0.057077625524172254,0.0684931506849315,0.0684931506849315,0.0684931506849315,0.0684931506849315,0.06278538817445788,0.06278538817445788,0.0684931506849315,0.0684931506849315,0.0684931506849315,0.0684931506849315,0.0684931506849315,0.0684931506849315
45%,0.05602240900069019,0.061115355233002294,0.05092946265706382,0.061115355233002294,0.061115355233002294,0.05092946265706382,0.061115355233002294,0.061115355233002294,0.061115355233002294,0.061115355233002294,0.05602240900069019,0.05602240900069019,0.061115355233002294,0.061115355233002294,0.061115355233002294,0.061115355233002294,0.061115355233002294,0.061115355233002294
50%,0.050574712673917534,0.05517241379310345,0.04597701146401349,0.05517241379310345,0.05517241379310345,0.050574712673917534,0.05517241379310345,0.05517241379310345,0.05517241379310345,0.05517241379310345,0.05517241379310345,0.050574712673917534,0.05517241379310345,0.05517241379310345,0.05517241379310345,0.05517241379310345,0.05517241379310345,0.05517241379310345
